ticker,contract,type,strike,expiration,last,volume,openInterest,addedAt
ORCL,.ORCL260731C105,CALL,105.00,2026-07-31,13.10,553,549,2026-07-29 12:51:09
ORCL,.ORCL260731C118,CALL,118.00,2026-07-31,3.10,1039,977,2026-07-29 12:51:09
ORCL,.ORCL260731C120,CALL,120.00,2026-07-31,2.32,3487,5041,2026-07-29 12:51:09
ORCL,.ORCL260731C121,CALL,121.00,2026-07-31,1.89,1240,2091,2026-07-29 12:51:09
ORCL,.ORCL260731C122,CALL,122.00,2026-07-31,1.60,1123,2863,2026-07-29 12:51:09
ORCL,.ORCL260731C123,CALL,123.00,2026-07-31,1.32,587,3462,2026-07-29 12:51:09
ORCL,.ORCL260731C125,CALL,125.00,2026-07-31,0.89,2026,9225,2026-07-29 12:51:09
ORCL,.ORCL260731C127,CALL,127.00,2026-07-31,0.55,826,1907,2026-07-29 12:51:09
ORCL,.ORCL260731C128,CALL,128.00,2026-07-31,0.44,1140,3530,2026-07-29 12:51:09
ORCL,.ORCL260731C130,CALL,130.00,2026-07-31,0.27,2971,8574,2026-07-29 12:51:09
ORCL,.ORCL260731C136,CALL,136.00,2026-07-31,0.06,644,1168,2026-07-29 12:51:09
ORCL,.ORCL260807C125,CALL,125.00,2026-08-07,2.62,2063,1270,2026-07-29 12:51:09
ORCL,.ORCL260807C130,CALL,130.00,2026-08-07,1.50,710,2668,2026-07-29 12:51:09
ORCL,.ORCL260814C140,CALL,140.00,2026-08-14,0.96,7902,8831,2026-07-29 12:51:09
ORCL,.ORCL260821C129,CALL,129.00,2026-08-21,3.62,593,3062,2026-07-29 12:51:09
ORCL,.ORCL260821C130,CALL,130.00,2026-08-21,3.60,1301,8706,2026-07-29 12:51:09
ORCL,.ORCL260731P100,PUT,100.00,2026-07-31,0.04,1404,10325,2026-07-29 12:51:09
ORCL,.ORCL260731P110,PUT,110.00,2026-07-31,0.57,6447,10489,2026-07-29 12:51:09
ORCL,.ORCL260731P113,PUT,113.00,2026-07-31,1.14,545,1241,2026-07-29 12:51:09
ORCL,.ORCL260731P115,PUT,115.00,2026-07-31,1.86,3890,11859,2026-07-29 12:51:09
ORCL,.ORCL260731P116,PUT,116.00,2026-07-31,2.17,503,742,2026-07-29 12:51:09
ORCL,.ORCL260731P117,PUT,117.00,2026-07-31,2.54,1465,2716,2026-07-29 12:51:09
ORCL,.ORCL260731P118,PUT,118.00,2026-07-31,3.20,2227,1573,2026-07-29 12:51:09
ORCL,.ORCL260731P119,PUT,119.00,2026-07-31,3.79,829,1227,2026-07-29 12:51:09
ORCL,.ORCL260731P120,PUT,120.00,2026-07-31,4.35,518,12178,2026-07-29 12:51:09
